my_index;date_taken;id;link_obj
1165;nach 1966;http://www.bildindex.de/bilder/d/fm1351339;http://www.bildindex.de/document/obj20192347
1166;1967/1968;http://www.bildindex.de/bilder/d/fm1351340;http://www.bildindex.de/document/obj20269511
1167;1966/1967;http://www.bildindex.de/bilder/d/fm1351341;http://www.bildindex.de/document/obj20269511
1168;1966/1967;http://www.bildindex.de/bilder/d/fm1351342;http://www.bildindex.de/document/obj20269511
1169;1966/1967;http://www.bildindex.de/bilder/d/fm1351343;http://www.bildindex.de/document/obj20192347
1170;1966/1967;http://www.bildindex.de/bilder/d/fm1351344;http://www.bildindex.de/document/obj20269511
1196;;http://www.bildindex.de/bilder/d/fm1351371;http://www.bildindex.de/document/obj20269564
1201;um 1965/1970;http://www.bildindex.de/bilder/d/fm1351376;http://www.bildindex.de/document/obj20269725
1204;;http://www.bildindex.de/bilder/d/fm1351379;http://www.bildindex.de/document/obj20269773
1205;nach 1961;http://www.bildindex.de/bilder/d/fm1351380;http://www.bildindex.de/document/obj20269457
1209;nach 1961;http://www.bildindex.de/bilder/d/fm1351389;http://www.bildindex.de/document/obj20269457
1215;1961/1962;http://www.bildindex.de/bilder/d/fm1351395;http://www.bildindex.de/document/obj20269457
1218;1964/1966;http://www.bildindex.de/bilder/d/fm1351398;http://www.bildindex.de/document/obj20269511
1219;1964/1966;http://www.bildindex.de/bilder/d/fm1351399;http://www.bildindex.de/document/obj20269511
1226;1953/1961;http://www.bildindex.de/bilder/d/fm1351406;http://www.bildindex.de/document/obj20269773
1227;1953/1961;http://www.bildindex.de/bilder/d/fm1351407;http://www.bildindex.de/document/obj20269773
1229;1967/1968;http://www.bildindex.de/bilder/d/fm1351409;http://www.bildindex.de/document/obj20269511
1274;um 1960/1965;http://www.bildindex.de/bilder/d/fm1351459;http://www.bildindex.de/document/obj20269773
1296;um 1960/1965;http://www.bildindex.de/bilder/d/fm1351481;http://www.bildindex.de/document/obj20269773
1297;;http://www.bildindex.de/bilder/d/fm1351482;http://www.bildindex.de/document/obj20648791
1298;;http://www.bildindex.de/bilder/d/fm1351483;http://www.bildindex.de/document/obj20648791
1316;;http://www.bildindex.de/bilder/d/fm1351502;http://www.bildindex.de/document/obj20269564
1399;1959/1961;http://www.bildindex.de/bilder/d/fm1351589;http://www.bildindex.de/document/obj20269457
1400;1959/1961;http://www.bildindex.de/bilder/d/fm1351590;http://www.bildindex.de/document/obj20269457
1401;1959/1961;http://www.bildindex.de/bilder/d/fm1351591;http://www.bildindex.de/document/obj20269457
1402;1959/1961;http://www.bildindex.de/bilder/d/fm1351592;http://www.bildindex.de/document/obj20269457
1403;1959/1961;http://www.bildindex.de/bilder/d/fm1351593;http://www.bildindex.de/document/obj20269457
1404;1959/1961;http://www.bildindex.de/bilder/d/fm1351597;http://www.bildindex.de/document/obj20269457
1415;um 1965/1970;http://www.bildindex.de/bilder/d/fm1351609;http://www.bildindex.de/document/obj20269725
1416;um 1965/1970;http://www.bildindex.de/bilder/d/fm1351610;http://www.bildindex.de/document/obj20269725
1422;nach 1961;http://www.bildindex.de/bilder/d/fm1351616;http://www.bildindex.de/document/obj20269457
1423;nach 1961;http://www.bildindex.de/bilder/d/fm1351617;http://www.bildindex.de/document/obj20269457
1426;1965/1970;http://www.bildindex.de/bilder/d/fm1351620;http://www.bildindex.de/document/obj20161823
1427;1965/1970;http://www.bildindex.de/bilder/d/fm1351621;http://www.bildindex.de/document/obj20161823
